William-Adolphe Bouguereau,Realism,Leveil Heart,19834.jpg
Rembrandt,Baroque,Lady with a Lap Dog,40672.jpg
Thomas Eakins,Realism,General George Cadwalader  ,45276.jpg
Ferdinand Hodler,Romanticism,Self-portrait with stand,75895.jpg
Koloman Moser,Art Nouveau (Modern),Mermaid. Illustration for Jugendschatz German seals.,21113.jpg
Ferdinand Hodler,Art Nouveau (Modern),Portrait of James Vibert,88434.jpg
Ferdinand Hodler,Realism,Devotion,80938.jpg
Ernst Ludwig Kirchner,Expressionism,KG Brücke,65341.jpg
Koloman Moser,Art Nouveau (Modern),"Girl's Head. Cover design Ver Sacrum, 204, 1899.",51415.jpg
Joshua Reynolds,Baroque,Self-Portrait,91879.jpg
Koloman Moser,Art Nouveau (Modern),Happy editing. Illustration with self-portrait.,15569.jpg
Ferdinand Hodler,Symbolism,The Grammont,20509.jpg
Heinrich Schonfeld,Baroque,Der heilige Cyriakus ,49864.jpg
Johannes Vermeer,Baroque,The Love Letter,1127.jpg
Rudolf von Alt,Romanticism,The cemetery in Gastein,71952.jpg
Rudolf von Alt,Romanticism,The Spittler in Nuremberg,7020.jpg
Ferdinand Hodler,Realism,Self-portrait in Paris,23209.jpg
Victor Borisov-Musatov,Symbolism,Emerald Necklace,29461.jpg
Koloman Moser,Art Nouveau (Modern),Cover design of the first publication of the Association of Austrian Artists Secession,100478.jpg
Ferdinand Hodler,Realism,The pastor,100829.jpg
Koloman Moser,Art Nouveau (Modern),Girl in Landscape,92409.jpg
Ernst Ludwig Kirchner,Expressionism,Red Tree on the Beach,51728.jpg
Edgar Degas,Impressionism,Interior (The Rape),95360.jpg
Johannes Vermeer,Baroque,The Milkmaid,68866.jpg
Ferdinand Hodler,Symbolism,"Lake Geneva, overlooking the Savoyerberge",16019.jpg
Ferdinand Hodler,Art Nouveau (Modern),Portrait of Georges Navazza,79131.jpg
Koloman Moser,Art Nouveau (Modern),Serpentine dancer. Poster design for Lois Fuller.,61952.jpg
Ferdinand Hodler,Art Nouveau (Modern),Spring,99839.jpg
Ferdinand Hodler,Art Nouveau (Modern),Portrait of Willy Russ,53800.jpg
Koloman Moser,Art Nouveau (Modern),Pine forest in winter,11057.jpg
Ferdinand Hodler,Art Nouveau (Modern),The Lake Geneva from Lausanne,89941.jpg
Koloman Moser,Art Nouveau (Modern),"Church Am Steinhof, drawing of western window ",26741.jpg
Ernst Ludwig Kirchner,Expressionism,Cows at Sunset,82971.jpg
Ernst Ludwig Kirchner,Expressionism,In the Greenhouse,96372.jpg
Franz Richard Unterberger,Romanticism,In the Bay of Naples,3732.jpg
Ferdinand Hodler,Symbolism,Thun with symmetric mirroring,10805.jpg
Ferdinand Hodler,Art Nouveau (Modern),"Thun, Stockhornkette, evening",87438.jpg
Ferdinand Hodler,Art Nouveau (Modern),Valentine Gode Darel in hospital bed,88945.jpg
Ferdinand Hodler,Symbolism,Snow in the Engadine,98644.jpg
Akseli Gallen-Kallela,Romanticism,Rustic life ,62387.jpg
Koloman Moser,Art Nouveau (Modern),Study of Portrait of Venus in the Grotto,80950.jpg
Koloman Moser,Art Nouveau (Modern),"Church Am Steinhof, design for the east side windows",48541.jpg
Alfred Stevens,Romanticism,Portrait of a young lady,22404.jpg
Ferdinand Hodler,Art Nouveau (Modern),Girl at the Window,9549.jpg
Koloman Moser,Art Nouveau (Modern),Mermaid,49873.jpg
Ferdinand Hodler,Symbolism,Dents du Midi,72442.jpg
Karl Bodmer,Romanticism,"A Minatarre or Big bellied indian, plate 17 from Volume 2 of 'Travels in the Interior of North America'",41164.jpg
Ernst Ludwig Kirchner,Expressionism,Girl with Cat (Franzi),101495.jpg
Koloman Moser,Art Nouveau (Modern),Self-Portrait with mermaid,38397.jpg
Ferdinand Hodler,Symbolism,Lake Geneva with Mont Blanc before sunrise,89307.jpg
Cornelis de Vos,Baroque,Portrait of a Dutch master,87495.jpg
Ferdinand Hodler,Art Nouveau (Modern),Portrait of Berthe Jacques,32754.jpg
Ferdinand Hodler,Symbolism,The Monk,100182.jpg
Ferdinand Hodler,Realism,The Reaper,88558.jpg
Claude Monet,Impressionism,"The Manneport, Rock Arch West of Etretat",49757.jpg
Ferdinand Hodler,Symbolism,The Monk with clouds,18100.jpg
Ferdinand Hodler,Romanticism,A morning in Interlaken,45523.jpg
Ferdinand Hodler,Art Nouveau (Modern),The Orator,22515.jpg
Thomas Eakins,Realism,Portraits ,17680.jpg
Ferdinand Hodler,Art Nouveau (Modern),"Thun, Stockhornkette, in clouds",45969.jpg
Karl Bodmer,Romanticism,"The Interior of a Hut of a Mandan Chief, plate 19 from Volume 2 of 'Travels in the Interior of North America'",62013.jpg
Ferdinand Hodler,Realism,Landscape at the Jonction at Geneva,47501.jpg
Ferdinand Hodler,Art Nouveau (Modern),"Thun, Stockhornkette",1211.jpg
Theodor Severin Kittelsen,Art Nouveau (Modern),Months of year first page,34679.jpg
Ferdinand Hodler,Symbolism,Compositional study to retreat from Marignano,45079.jpg
Karl Bodmer,Romanticism,"Buffalo-Dance of the Mandan Indians in front of their Medicine Lodge in Mih-Tutta-Hankush, plate 18 from Volume 2 of 'Travels in the Interior of North America'",95342.jpg
Koloman Moser,Symbolism,Mountain ranges,43030.jpg
Koloman Moser,Art Nouveau (Modern),Judith and Holofernes,78338.jpg
Domenico Gnoli,Surrealism,Striped Trousers,74191.jpg
Paul Signac,Impressionism,Rodez,53841.jpg
Koloman Moser,Art Nouveau (Modern),Dancer Miss Olga George,40197.jpg
Karl Bodmer,Romanticism,"Wahk-Ta-Ge-Li, a Sioux Warrior, plate 8 from Volume 2 of 'Travels in the Interior of North America'",99889.jpg
Edouard Vuillard,Post-Impressionism,The Cake Shop,85979.jpg
Ferdinand Hodler,Art Nouveau (Modern),Transfiguration,271.jpg
Koloman Moser,Art Nouveau (Modern),Standing youth,99522.jpg
Koloman Moser,Art Nouveau (Modern),"Vignettes for the catalog  Secessionausstellung, 1898",83567.jpg
Gian Lorenzo Bernini,Baroque,Self Portrait as a Young Man,24036.jpg
Valentin Serov,Art Nouveau (Modern),Portrait of Henrietta Girshman,34382.jpg
Ferdinand Hodler,Symbolism,From Le Grand Muveran Villars,12262.jpg
Thomas Eakins,Realism,Portraits ,86917.jpg
Konstantin Somov,Realism,Lady in Blue. Portrait of the Artist Yelizaveta Martynova,5303.jpg
Karl Bodmer,Romanticism,"A Missouri Indian, an Oto Indian and the Chief of the Puncas, plate 7 from 'Travels in the Interior of North America'",50480.jpg
Ferdinand Hodler,Symbolism,The German students in the War of Liberation of 1813,97421.jpg
Koloman Moser,Art Nouveau (Modern),Spring morning,36041.jpg
Ferdinand Hodler,Art Nouveau (Modern),"Portrait study to ""Look into the infinity""",45541.jpg
Koloman Moser,Art Nouveau (Modern),The light,76278.jpg
William Blake,Symbolism,Christ Nailed to the Cross The Third Hour,17903.jpg
Rudolf von Alt,Romanticism,View of Bad Gastein,39644.jpg
Ferdinand Hodler,Romanticism,At the Jonction,101078.jpg
Thomas Eakins,Realism,The Courtship,49829.jpg
Koloman Moser,Realism,Girls in henhouse,97649.jpg
Gerrit Dou,Baroque,Heraklith,41316.jpg
Isaac van Ostade,Baroque,Frozen Ice Landscape with Carriages and Boats,44926.jpg
Ferdinand Hodler,Art Nouveau (Modern),Cavalryman striding a horse ,65940.jpg
Ferdinand Hodler,Art Nouveau (Modern),The German students in the War of Liberation of 1813,91301.jpg
Diego Velazquez,Baroque,Portrait of Philip IV of Spain,47592.jpg
Karl Bodmer,Romanticism,"Encampment of the Piekann Indians, plate 43 from Volume 2 of 'Travels in the Interior of North America'",46316.jpg
Koloman Moser,Art Nouveau (Modern),Envelope for the score to the opera Julius Bittner's opera 'The musician',51073.jpg
Albert Trachsel,Symbolism,Paesaggio da sogno,92019.jpg
Paul Signac,Impressionism,The Look at Montauban in rain,81912.jpg
Ferdinand Hodler,Art Nouveau (Modern),"Thun, Stockhornkette",6977.jpg
Ferdinand Hodler,Art Nouveau (Modern),Thirteen standing draped figures,35843.jpg
Koloman Moser,Art Nouveau (Modern),Wotan and Brunhilde,80947.jpg
Ferdinand Hodler,Impressionism,Prayer in the Saint Pierre Cathedral in Geneva,17146.jpg
Ferdinand Hodler,Post-Impressionism,Landscape with two small trees,46012.jpg
Koloman Moser,Art Nouveau (Modern),Kolo middle Dolomites,55851.jpg
Koloman Moser,Symbolism,Landscape in Semmering,12455.jpg
Thomas Eakins,Realism,Portraits ,31655.jpg
Ferdinand Hodler,Art Nouveau (Modern),"Valentine Gode Darel, with disheveled hair",65887.jpg
Koloman Moser,Art Nouveau (Modern),Female Nude with blue cloth,74857.jpg
Benjamin West,Rococo,The Golden Age,73147.jpg
Karl Bodmer,Romanticism,"Noapeh, an Assiniboin Indian and Psihdja-Sahpa, a Yanktonan Indian, plate 12 from Volume 2 of 'Travels in the Interior of North America'",44054.jpg
Karl Bodmer,Romanticism,"Pehriska-Ruhpa, Minatarre Warrior in the Costume of the Dog Dance, plate 23 from Volume 2 of 'Travels in the Interior of North America'",79781.jpg
Eugène Grasset,Art Nouveau (Modern),Self-portrait,53600.jpg
Koloman Moser,Art Nouveau (Modern),Design for the anniversary card Korrespodenz (Vienna edition),73923.jpg
Francisco Goya,Romanticism,The Duke of Wellington,82310.jpg
Koloman Moser,Post-Impressionism,Landscape in Semmering,69300.jpg
David Wilkie,Romanticism,Reading the Will ,39533.jpg
Ferdinand Hodler,Symbolism,Peaks in the morning,34850.jpg
Karl Bodmer,Romanticism,Mandan indians,95359.jpg
Valentin Serov,Impressionism,Girl with Peaches ,5241.jpg
Koloman Moser,Art Nouveau (Modern),Poster of five art exhibition of the Association of Austrian Artists of Secession,65103.jpg
Pierre-Paul Prud'hon,Romanticism,Louis Antoine de Saint Just,25503.jpg
Karl Bodmer,Romanticism,"Chief of the Blood Indians, War Chief of the Piekann Indians and a Koutani Indian, plate 46 from Volume 2 of 'Travels in the Interior of North America'",89279.jpg
Guido Reni,Baroque,Baby Jesus asleep on the Cross,76728.jpg
Pavel Fedotov,Realism,The fresh cavalier,55948.jpg
Ivan Kramskoy,Realism,Christ in the Wilderness,8362.jpg
Ferdinand Hodler,Post-Impressionism,Maggia Delta before sunrise,12836.jpg
Ferdinand Hodler,Symbolism,Lake Geneva with six swans,60761.jpg
Theophile Steinlen,Realism,L'Internationale  ,9348.jpg
Theophile Steinlen,Art Nouveau (Modern),Les Gavroches  ,75013.jpg
Thomas Cole,Romanticism,The Subsiding of the Waters of the Deluge,25251.jpg
Benjamin West,Rococo,Woodcutters in Windsor Park,29391.jpg
Ferdinand Hodler,Impressionism,Samoëns,8943.jpg
Jean-Honore Fragonard,Rococo,The Fountain of Love,86506.jpg
Ferdinand Hodler,Symbolism,Evening mist on Lake Thun,9332.jpg
Rudolf von Alt,Romanticism,The St. Stephen's Cathedral in Vienna,35557.jpg
Ferdinand Hodler,Realism,Pastures at the Jonction at Geneva,17862.jpg
Thomas Eakins,Realism,Portraits ,40855.jpg
Koloman Moser,Symbolism,Pieta,34102.jpg
Nicolae Grigorescu,Realism,The Blower,393.jpg
Alphonse Mucha,Art Nouveau (Modern),The Lady of the Camellias,36785.jpg
Joan Miro,Surrealism,Dutch Interior II,77236.jpg
Paul Revere,Rococo,View of the Town of Boston ,8421.jpg
Dmitry Levitzky,Rococo,Portrait of E. I. Molchanova,19525.jpg
Eugene von Guerard,Romanticism,Purrumbete from across the lake ,1049.jpg
Dmitry Levitzky,Rococo,Count Artemiy Vorontsov,13418.jpg
Koloman Moser,Art Nouveau (Modern),Draft of furniture decoration for the bedroom of the apartment Eisler Terra Mare,29159.jpg
Ferdinand Hodler,Art Nouveau (Modern),Border woman figure in blue Gwand,77110.jpg
Anders Zorn,Realism,The widow,254.jpg
Franz Stuck,Symbolism,S. K. H. Prince Regent Luitpold of Bavaria,102442.jpg
Paul Signac,Impressionism,Le Havre with rain clouds,8250.jpg
Koloman Moser,Art Nouveau (Modern),Figure study to Mermaid,55861.jpg
Rudolf von Alt,Romanticism,The main square in Bratislava,47312.jpg
Rudolf von Alt,Romanticism,View of Ragusa,32252.jpg
Ferdinand Hodler,Symbolism,Landscape at Caux with increasing clouds,91753.jpg
Karl Bodmer,Romanticism,"Woman of the Snake tribe and woman of the Cree tribe, plate 33  from Volume 1 of 'Travels in the Interior of North America'",81776.jpg
Ferdinand Hodler,Post-Impressionism,Lake Geneva from the Caux,16347.jpg
Rudolf von Alt,Romanticism,Interior in Palace Windischgratz in the race in Vienna,25480.jpg
Rudolf von Alt,Romanticism,The iron foundry in Kitschelt Skodagasse in Vienna,56338.jpg
Ferdinand Hodler,Impressionism,Seated bearded man,99956.jpg
Karl Bodmer,Romanticism,"A Mandan village, plate 16 from Volume 1 of 'Travels in the Interior of North America'",85839.jpg
Rudolf von Alt,Romanticism,Count Casimir Batthyány in his saloon at Castle Siklós,30031.jpg
Ferdinand Hodler,Art Nouveau (Modern),Standing female figure in a blue dress,7060.jpg
Karl Bodmer,Romanticism,"Funeral Scaffold of a Sioux Chief near Fort Pierre, plate 11 from Volume 2 of 'Travels in the Interior of North America'",28530.jpg
Rudolf von Alt,Romanticism,View of Klosterneuburg,47838.jpg
Koloman Moser,Art Nouveau (Modern),Flowers,42265.jpg
Francois Boucher,Rococo,Marquise de Pompadour,76118.jpg
Rudolf von Alt,Romanticism,The courtyard of the Doge's Palace in Venice,38694.jpg
Leon Bonnat,Romanticism,A portrait of a young girl ,23382.jpg
Rudolf von Alt,Romanticism,Lake Traun,186.jpg
Theodore Gericault,Romanticism,Study of a Dapple Grey,40401.jpg
Konstantinos Volanakis,Realism,Sunset at the seashore,57598.jpg
Dmitry Levitzky,Rococo,Countess Praskovia Vorontsova,79242.jpg
Rudolf von Alt,Romanticism,The Town Hall in Mödling,50103.jpg
Dmitry Levitzky,Rococo,Portrait of Maria Dyakova ,35239.jpg
Berthe Morisot,Impressionism,At the Beach in Nice,93353.jpg
Fyodor Bronnikov,Realism,The Garden Arbor,26366.jpg
Rudolf von Alt,Romanticism,The Basilica of Santa Maria Maggiore in Rome,28188.jpg
Caravaggio,Baroque,Medusa,66051.jpg
Ferdinand Hodler,Post-Impressionism,Lake Geneva from Chexbres,84409.jpg
Gustave Moreau,Symbolism,Sappho,102837.jpg
Ferdinand Hodler,Post-Impressionism,Child by the table,31717.jpg
Theophile Steinlen,Realism,Model at rest ,77220.jpg
Jacques Stella,Baroque,Self-portrait,45851.jpg
Orest Kiprensky,Romanticism,Portrait of Alexander Chelishchev,4771.jpg
Paul Signac,Impressionism,Saint Paul de Vence,95477.jpg
Rudolf von Alt,Romanticism,View from the Monastery of Sant 'Onofrio in Rome,97187.jpg
Ivan Bilibin,Art Nouveau (Modern),"Sketch for the spectacle, The action of Theophile",11908.jpg
Rudolf von Alt,Romanticism,Motif from Goisern,31199.jpg
Koloman Moser,Art Nouveau (Modern),"Holy Spirit Church in Düsseldorf, design for the entrance wall",38493.jpg
Rudolf von Alt,Romanticism,View of Passau,50355.jpg
Ferdinand Hodler,Symbolism,Lake Geneva with Mont Blanc in the morning light,51875.jpg
Thomas Eakins,Impressionism,Columbus in Prison,71149.jpg
Honore Daumier,Realism,"Group of Actors at Mid Body, the Former French Comedy",21812.jpg
Koloman Moser,Symbolism,Mountain slope,90318.jpg
Ivan Bilibin,Art Nouveau (Modern),"Sketch for the opera ""Prince Igor"" by Alexander Borodin ",95186.jpg
Vasily Tropinin,Romanticism,Portrait of K.G.Ravich,27639.jpg
Thomas Eakins,Realism,The Honorable John A. Thorton ,70892.jpg
Koloman Moser,Art Nouveau (Modern),"Holy Spirit Church in Düsseldorf, design for the choir wall",45108.jpg
Ferdinand Hodler,Symbolism,Lake Geneva with Mont Blanc at dawn,73456.jpg
Ferdinand Hodler,Symbolism,Left border warriors,72945.jpg
Agostino Carracci,Baroque,Venus and Mars,68918.jpg
Koloman Moser,Art Nouveau (Modern),"Reproduction template for the leaf for Gerlach's love allegories. New Series, Plate 35",57230.jpg
Ernst Ludwig Kirchner,Expressionism,Women and Sculptures on the Beach,43868.jpg
John Glover,Romanticism,A corroboree of natives in Mills Plains ,49766.jpg
Winslow Homer,Realism,"High Cliff, Coast of Maine",75881.jpg
Ferdinand Hodler,Symbolism,Left border woman,68311.jpg
Ivan Shishkin,Realism,The Forest Clearing,71922.jpg
Edouard Vuillard,Post-Impressionism,Half-figure of a seated woman,5694.jpg
Koloman Moser,Art Nouveau (Modern),Stage design for 'The Phantom' of Hermann Bahr,51408.jpg
Pavel Fedotov,Realism,The Major's Marriage Proposal ,28789.jpg
Koloman Moser,Art Nouveau (Modern),Stage design for 'The Phantom' of Hermann Bahr,85069.jpg
Rudolf von Alt,Romanticism,The parish church in Ofen,78023.jpg
Franz Stuck,Symbolism,Susanna and the Elders,96668.jpg
Theophile Steinlen,Art Nouveau (Modern),Separation  ,20768.jpg
Felicien Rops,Symbolism,Étienne Soubre,102960.jpg
Ferdinand Hodler,Realism,Portrait of Louise Delphine Duchosal,72083.jpg
Koloman Moser,Symbolism,Landscape in Semmering,42047.jpg
Theophile Steinlen,Realism,La Mort de Jesus  ,70088.jpg
Alfred Stevens,Romanticism,Elegant at Billiards,36027.jpg
Koloman Moser,Art Nouveau (Modern),Self-portrait,70020.jpg
Ferdinand Hodler,Symbolism,Lake Geneva with Mont Blanc at dawn,96219.jpg
Louise Elisabeth Vigee Le Brun,Rococo,Portrait of Hubert Robert ,78091.jpg
Koloman Moser,Art Nouveau (Modern),Poster for Fromme's Calendar,67382.jpg
Luc-Olivier Merson,Symbolism,"Study for the figure of ""Spring"" at l'Opéra-Comique, Paris",55435.jpg
Ferdinand Hodler,Art Nouveau (Modern),The life of Weary,70063.jpg
Ferdinand Hodler,Art Nouveau (Modern),Jenenser Student,23239.jpg
Rembrandt,Baroque,Self-portrait,60634.jpg
Ivan Bilibin,Art Nouveau (Modern),"Sketch for the opera ""Legend of the Invisible City of Kitezh and Maiden Fevronia""  by Nikolai Rimsky-Korsakov ",2896.jpg
Charles Rennie Mackintosh,Art Nouveau (Modern),Landscape ,20445.jpg
Mstislav Dobuzhinsky,Symbolism,Old House in Germany,71859.jpg
Luc-Olivier Merson,Romanticism,Danse de fiançailles detail,13273.jpg
Rudolf von Alt,Romanticism,View of Böckstein and the entrance to Anlauftal,84515.jpg
Carl Larsson,Art Nouveau (Modern),A studio idyll. The artist's wife with daughter Suzanne,49444.jpg
Rudolf von Alt,Romanticism,The Imperial Palace Livadia in the Crimea,27205.jpg
Camille Corot,Realism,"Rome, Castle Sant Angelo",60161.jpg
Benjamin West,Rococo,Self Portrait,29007.jpg
Karl Bodmer,Romanticism,"Mato-Tope, Adorned with the Insignia of his Warlike Deeds, plate 14 from Volume 2 of 'Travels in the Interior of North America'",70005.jpg
Alexander Ivanov,Romanticism,Via Appia at Sunset ,7224.jpg
Claude Monet,Impressionism,"Poppy Field, Argenteuil",41682.jpg
Claude Monet,Impressionism,Gardener's House at Antibes,37256.jpg
Giuseppe de Nittis,Impressionism,A Lady from Naples,54668.jpg
Ernst Ludwig Kirchner,Expressionism,Erna Japanschirm,60691.jpg
Louise Elisabeth Vigee Le Brun,Rococo,Portrait of Joseph Vernet ,71698.jpg
Koloman Moser,Art Nouveau (Modern),"Allegory of Ver Sacrum, sketch of illustration to Ver Sacrum, 101 1898, p.1",73466.jpg
Thomas Eakins,Realism,Legs of a Seated Model,94592.jpg
Eustache Le Sueur,Baroque,Rape of Tamar,30595.jpg
Alexey Venetsianov,Realism,In the Fields. Spring,67798.jpg
Henri de Toulouse-Lautrec,Post-Impressionism,The Greens (Seated Woman in a Garden),64210.jpg
Nikolai Ge,Realism,What is Truth. Christ and Pilate,102940.jpg
Rudolf von Alt,Romanticism,View from the chapel Rosalie,99285.jpg
Karl Bodmer,Romanticism,"The Travellers Meeting with Minatarre Indians near Fort Clark, plate 26 from Volume 1 of 'Travels in the Interior of North America'",64419.jpg
Ferdinand Hodler,Realism,The cobbler by the window,18398.jpg
Karl Bodmer,Romanticism,"Abdih- Hiddisch. A Minatarre Chief, plate 24 from Volume 1 of 'Travels in the Interior of North America'",9158.jpg
Esaias van de Velde,Baroque,View of Zierikzee,72942.jpg
Church of the Covenant (Boston) ,Art Nouveau (Modern),Windows,88767.jpg
Ivan Aivazovsky,Romanticism,The Black Sea,82140.jpg
Rudolf von Alt,Romanticism,Galician gypsies,50272.jpg
Ferdinand Georg Waldmüller,Romanticism,Self portrait at the age of 35 ,13889.jpg
Theophile Steinlen,Art Nouveau (Modern),Sur L'Eau  ,75187.jpg
Dmitry Levitzky,Rococo,Portrait of Procope Demidov,55979.jpg
Valentin Serov,Art Nouveau (Modern),The Rape of Europa ,58564.jpg
Theophile Steinlen,Realism,Tu te Brules a la Chandelle ,28179.jpg
Joshua Reynolds,Rococo,Cupid Unfastening the Girdle of Venus,48736.jpg
Karl Bodmer,Romanticism,"A Blackfoot Indian on Horseback, plate 19 from Volume 1 of 'Travels in the Interior of North America'",2918.jpg
Ivan Bilibin,Art Nouveau (Modern),Illustration for Alexander Pushkin's 'Fairytale of the Tsar Saltan',42415.jpg
Karl Bodmer,Romanticism,"A Skin Lodge of an Assiniboin Chief, plate 16 from Volume 1 of 'Travels in the Interior of North America'",28187.jpg
Karl Bodmer,Romanticism,Winter village of the Minatarres,74753.jpg
Viktor Vasnetsov,Romanticism,Alyonushka,1658.jpg
Ferdinand Hodler,Art Nouveau (Modern),Wetterhorn,30945.jpg
Ferdinand Hodler,Art Nouveau (Modern),The working mower,100830.jpg
Koloman Moser,Art Nouveau (Modern),A crouching woman,68070.jpg
Francois Boucher,Rococo,Landscape near Beauvais  early ,62964.jpg
Paul Signac,Impressionism,Floral still life,19464.jpg
Pierre-Auguste Renoir,Impressionism,Ambroise Vollard Portrait,3016.jpg
Odilon Redon,Realism,Wildflowers,78766.jpg
Ferdinand Hodler,Symbolism,Grand Muveran,62636.jpg
Karl Bodmer,Romanticism,"Horse Racing of Sioux Indians near Fort Pierre, plate 30 from Volume 1 of 'Travels in the Interior of North America'",55154.jpg
Thomas Eakins,Realism,Ships and Sailboats on the Delaware ,62530.jpg
Carl Larsson,Art Nouveau (Modern),In the Corner,51496.jpg
Koloman Moser,Art Nouveau (Modern),Ver Sacrum postcard nr. 12 I. Secessionausstellung  with greeting line of the art historian Julius von Schlosser,27129.jpg
Bernardo Bellotto,Rococo,The Neuer Marktplatz in Dresden,13949.jpg
Claude Monet,Impressionism,Sunlight Effect under the Poplars,56641.jpg
John Bauer,Art Nouveau (Modern),The cottage at the foot of the mountain ,51492.jpg
John Bauer,Art Nouveau (Modern),Stugan vid bergets fot,79528.jpg
Thomas Eakins,Realism,Portrait of Adam S. Bare  ,64311.jpg
Ferdinand Hodler,Romanticism,Charlet in Hilterfingen,44166.jpg
Childe Hassam,Impressionism,"New York, Late Afternoon, Winter",3632.jpg
Caspar David Friedrich,Romanticism,Self-portrait as a young man,10590.jpg
Alphonse Mucha,Art Nouveau (Modern),Fruit,70787.jpg
Allan Ramsay,Rococo,King George III,33511.jpg
Karl Bodmer,Romanticism,"Tombs of Assiniboin Indians on Trees, plate 30 from volume 1 of `Travels in the Interior of North America'",67530.jpg
Vladimir Borovikovsky,Rococo,Portrait of Count Alexander Kurakin,22248.jpg
Francesco Solimena,Baroque,Portrait of a Woman,62672.jpg
Karl Bodmer,Romanticism,"Ischohä Kakoschochatä Dance of the Mandan Indians, plate 25 from Volume 2 of 'Travels in the Interior of North America'",23375.jpg
Claude Monet,Impressionism,"Rouen Cathedral, the Portal, Morning Effect",52850.jpg
Camille Corot,Realism,Ville d'Avray,90288.jpg
Thomas Eakins,Realism,Landscape ,38869.jpg
Carl Larsson,Art Nouveau (Modern),Flowers on the windowsill,24726.jpg
Carl Larsson,Art Nouveau (Modern),The Kitchen,11091.jpg
Carl Larsson,Art Nouveau (Modern),A Day of Celebration,38502.jpg
Ferdinand Hodler,Impressionism,The netmender,36350.jpg
Raphael Kirchner,Art Nouveau (Modern),New York Tribune,58339.jpg
Rudolf von Alt,Romanticism,The tomb of Emperor Frederick III in the Stephansdom in Vienna,39893.jpg
Claude Monet,Impressionism,The Allee du Champ de Foire at Argenteuil,97356.jpg
William-Adolphe Bouguereau,Realism,Spring Breeze,94550.jpg
Thomas Eakins,Realism,A Negress ,9125.jpg
Edgar Degas,Impressionism,Repetition of the Dance (detail),92192.jpg
Le Nain brothers,Baroque,Portrait of a knight of Saint Michael,72432.jpg
Ivan Aivazovsky,Romanticism,American Shipping off the Rock of Gibraltar,74871.jpg
Honore Daumier,Realism,Parade Acrobats,92742.jpg
Koloman Moser,Art Nouveau (Modern),Poster for the XIII. Secession,57846.jpg
Ferdinand Hodler,Symbolism,Left border warriors,4234.jpg
Marcus Larson,Romanticism,Stormy sea with ship wreck,90330.jpg
Viktor Vasnetsov,Symbolism,Bogatyrs,24633.jpg
Karl Bodmer,Romanticism,"Dog Sledges of the Mandan Indians, plate 28 from Volume 2 of 'Travels in the Interior of North America' ",63088.jpg
Marevna (Marie Vorobieff),Expressionism,Portrait of Two Girls,93537.jpg
Ferdinand Hodler,Symbolism,Standing draped figure,22375.jpg
Honore Daumier,Realism,Chess-Players,41435.jpg
Koloman Moser,Art Nouveau (Modern),Hut in Leysin,9797.jpg
